Título;Autore;Fuente;Sección;Fecha;Texto;Foto;Digital;Quién_clasifica;Izquierda-Derecha;República-Monarquía;Corrupto-Campechano
Juan Carlos I se marcha de España;Economía Digital;EconomiaDigital;Política y sociedad;3;"El rey Juan Carlos ha comunicado a Felipe VI su “meditada decisión” de trasladarse a vivir fuera de España debido a los escándalos sobre “ciertos acontecimientos pasados” de su vida privada. En los últimos meses se han sucedido numerosas informaciones sobre los negocios opacos del monarca emérito, lo que aunado a la presión del Gobierno de Pedro Sánchez ha precipitado su exilio.

El monarca emérito, de hecho, ya no se encuentra en España, según han podido confirmar este lunes los medios de comunicación. Se desconoce concretamente dónde está ni hace cuánto salió del país.

En un comunicado, la Casa Real se ha hecho eco de la carta que Juan Carlos I envió a Felipe VI, la cual reza: “Con el mismo afán de servicio a España que inspiró mi reinado y ante la repercusión pública que están generando ciertos acontecimientos pasados de mi vida privada, deseo manifestarte mi más absoluta disponibilidad para contribuir a facilitar el ejercicio de tus funciones, desde la tranquilidad y el sosiego que requiere tu alta responsabilidad”.

La misiva se ha hecho pública pocos días después de finalizarse la gira de los Reyes por toda España para saludar a los españoles en sus comunicades durante una época de alta incertidumbre social, económica y, naturalmente, política. Pero la posibilidad de que el Rey emérito se marchase de España sonaba desde hace algunas semanas, y se suma a la decisión de Felipe VI de renunciar a su herencia al estar en cuestión el procedimiento para alcanzar su fortuna.

“Mi legado, y mi propia voluntad como persona, así me lo exigen”, continúa la carta de Juan Carlos I, en alusión a su “disponibilidad” para tomar la decisión que haya que tomar. “Hace un año te expresé mi voluntad y deseo de dejar de desarrollar actividades institucionales. Ahora, guiado por el convencimiento de prestar el mejor servicio a los españoles, a sus instituciones y a ti como Rey, te comunico mi meditada decisión de trasladarme, en estos momentos, fuera de España”.
Afirma el monarca emérito que ha tomado la decisión “con profundo sentimiento, pero con gran serenidad”, recordando que fue el Rey de España durante casi 40 años y que, “durante todos ellos, siempre he querido lo mejor para España y para la Corona”. El comunicado añade que su hijo le ha transmitido “su sentido respeto y agradecimiento ante su decisión”, y ha recalcado “la importancia histórica” que representó su reinado. Subraya el Rey que su padre tiene un “legado y obra política e institucional de servicio a España y a la democracia” y afirma que “al mismo tiempo quiere reafirmar los principios y valores sobre los que ésta se asienta, en el marco de nuestra Constitución y del resto del ordenamiento jurídico”.

Su fortuna, investigada
La fortuna de Juan Carlos I está siendo investigada por la Fiscalía del Tribunal Supremo, que hace indagaciones sobre el presunto cobro de comisiones para la adjudicación en 2011 del AVE a La Meca. El Rey emérito es aforado y su inviolabilidad hasta que dejó de ser monarca en 2014 impide que se le pueda investigar por los hechos ocurridos durante su mandato, aunque sí posteriores.

El presidente del Gobierno, Pedro Sánchez, declaró recientemente que las informaciones sobre Juan Carlos I le parecen “inquietantes y perturbadoras”, y desde La Moncloa se ha aplaudido la “distancia” que Felipe VI ha marcado con su padre y se ha instado al monarca a “avanzar” hacia una mayor transparencia, señalando hace unas semanas que confiaban en que La Zarzuela seguiría caminando en ese sentido.";Sí;Sí;Pablo;3;4;2
Podemos y los soberanistas se vuelcan en quitar placas a Juan Carlos I;Alessandro Solís Lerici;EconomiaDigital;Política y sociedad;4;"La salida de España de Juan Carlos I ha coincidido con una serie de proposiciones en distintos municipios para retirar medallas y eliminar su nombre de calles y avenidas, ante los presuntos casos de corrupción en los que se ha visto involucrado. Algunos de estos procesos ya estaban en marcha antes de la impactante noticia de este lunes, y otros se han precipitado tras la misma, que ha enfurecido a republicanos y nacionalistas por igual.

Este martes, de hecho, el pleno del Ayuntamiento de Figueres (Girona) ha aprobado retirar la medalla de oro de la ciudad al Rey emérito, y ahora exige al monarca la devolución de la misma. La moción había sido presentada desde el inicio de julio pero se ha retrasado, hasta haber sido aprobada con el apoyo de ERC, Junts per Figueres, Guanyem Figueres y Canviem Figueres, la abstención del PSC y los votos en contra de Ciudadanos.

El consistorio figuerense, en aquel entonces en manos de los socialistas, le concedió su más alta distinción ciudadana al Rey Juan Carlos I en 1999. Fue el tercero en recibir la medalla de oro de Figueres, tras el dictador Francisco Franco y el artista Salvador Dalí, nacido allí en 1904. La moción para retirarle estos honores se justificaba, entre otras razones, por la “actual conducta del monarca, que pone en duda la honestidad de la familia real”.

Otra medalla de oro que el Rey emérito podría perder es la de Menorca, pues Izquierda Unida ha solicitado al Consell Insular su retirada. Esta medalla fue concedida en 1993, por el entonces ejecutivo del PSOE. “Mientras el Rey de entonces recibía esta distinción, ya estaban en marcha estas operaciones de enriquecimiento ilícito que han estallado definitivamente este verano, provocando un escándalo sin precedentes en los últimos tiempos”, dice IU. 

Podemos también ha pedido la retirada de la medalla de oro de Baleares a Juan Carlos I después de su salida de España, haciendo un llamamiento a “nuestros socios de Gobierno” del PSOE a “secundar la iniciativa” como cuando se hizo lo mismo con los honores concedidos a Íñaki Urdangarin. La formación morada balear ha argumentado que las “faltas graves” que se investigan “propician privar al Rey de los honores”.

Calles y avenidas
El pasado 31 de julio, antes de que se conociera la decisión de Juan Carlos I de trasladarse fuera de España, el Ayuntamiento de Blanes aprobó una moción para retirar el nombre de la avenida que llevaba su nombre, que ahora se llamará avenida de la República. Votaron a favor En Comú-Podem y ERC (que gobiernan en coalición en el municipio). el PSC se abstuvo y Cs votó en contra.

 Lo mismo sucedió en Vitoria, donde el alcalde Gorka Urtaran (PNV) publicó el pasado 28 de julio un decreto por el quese retiró el nombra del monarca a una avenida de la ciudad, que, a partir de ahora, se denominará 8 de Marzo, en reconocimiento a las mujeres que “dedican su vida a lograr una ciudad más libre”. Además del homenaje al feminismo, Urtaran vinculó la decisión a las informaciones recientes sobre Juan Carlos I.

“Las personas que den nombre a nuestras calles deben servir de ejemplo y ser honestas y honradas. No cabe el nombre de un señor que ha sido un corrupto, así de claro”, dijo Urtaran el 31 de julio, día en que se retiraron las placas con el antiguo nombre de la avenida. El alcalde de Vitoria había prometido este cambio de nombre desde el inicio del estado de alarma, ante las informaciones sobre la fortuna del monarca.

Compromís quiere que suceda exactamente lo mismo en una avenida de Elx y en una plaza de Sagunt, en Valencia. Los nacionalistas ya han conseguido borrar el rastro de Juan Carlos I en varios espacios públicos valencianos en otras ocasiones, y ahora quieren quitarle su nombre a una avenida (que pasaría a llamarse Assumpció Ibarra Santamaria) y a una plaza en Sagunt (que se denominaría Triángulo Umbral).

El pasado 16 de julio, en Alicante, el pleno del Ayuntamiento de La Vila Joiosa aprobó una moción conjunta de los grupos que forman el gobierno local (PSOE, Compromís y Gent per La Vila) para cambiar el nombre de la avenida Juan Carlos I por Doctor Pere Esquerdo, cuya imagen “dista mucho de quien fuese jefe del Estado español, que se ha aprovechado de su cargo para enriquecerse de manera ilícita”, según rezaba el texto de la propuesta.

En Galicia, el BNG de Santiago ha anunciado este martes que volverá a pedir en el pleno municipal que se retire el nombre de Juan Carlos I a una avenida de la ciudad al considerar que la denominación está “vinculada a la corrupción” y “ensucia el callejero compostelano” y “perjudica” la imagen de la ciudad. El alcalde de la localidad, Xosé Sánchez Bugallo, es del PSdeG-PSOE.";Sí;Sí;María;3;2;2
Sánchez mantuvo a Podemos al margen de la negociación con el Rey;Economía Digital;EconomiaDigital;Política y sociedad;4;"
Podemos salió el lunes en tromba contra el Rey emérito por su marcha de España rodeada de sospechas de enriquecimiento ilícito. Tanto cargos de la formación como sus ministros en el Gobierno criticaron el traslado del monarca que, aseguraron, se negoció a sus espaldas entre el PSOE y la Casa Real. “Esta decisión no la ha tomado el Ejecutivo de coalición”, sostuvo este martes la ministra de Igualdad, Irene Montero.

En una entrevista en la Cadena Ser, Montero aseguró que los ministros de Unidas Podemos desconocían las negociaciones entre Moncloa y Zarzuela para definir la salida de España de Juan Carlos I y el comunicado de la Casa Real. “Puede ser que haya sido el PSOE desde Moncloa”, advirtió.

La ministra avisó que los movimientos socialistas se discutirán en el seno del Gobierno de coalición y evitó hablar de deslealtad. “Desde luego no es una decisión que se haya tomado en el Gobierno, respeto las decisiones del PSOE pero no es una decisión que haya tomado el Gobierno de coalición”, subrayó.

Montero no dudó en calificar la “huida” del Rey de “indigna” tras la sospecha de que haya cobrado comisiones procedentes de Arabia Saudí por interceder en la construcción del AVE a La Meca. “Todo el mundo interpreta que su salida tiene que ver con intentar eludir la acción de la justicia”.
“Este movimiento afecta a toda la institución”, alertó, tratando de mezclar a Felipe VI con su padre. “La deja en una situación comprometida”. Y zanjó: “Creo que lo lógico y razonable y lo que se espera en el siglo XXI es que cualquier persona que haya cometido actos de corrupción cumpla ante su país y ante la Justicia”.

Iglesias se agarra a los escándalos del monarca
Las declaraciones de Irene Montero se suman a las del vicepresidente Pablo Iglesias, que el lunes ya prometía guerra. “Un gobierno democrático no puede mirar hacia otro lado ni mucho menos justificar o saludar comportamientos que socavan la dignidad de una institución clave como es la Jefatura del Estado y que son un fraude a la Justicia”, dijo en Twitter.

La formación morada, en declive electoral, ha encontrado en los escándalos del Rey Juan Carlos I una balón de oxígeno para agrietar al PSOE, que siempre ha defendido la “ejemplaridad” de Felipe VI.

Por ello,  la alcaldesa de Barcelona, Ada Colau, incluso fue más allá y dio pistas sobre la que puede ser la estrategia en los próximos meses: “La corrupción debe someterse a juicio. Y el apoyo a la monarquía, a referéndum. Referéndum sobre la república, ya”, pidió.";Sí;Sí;Joel;4;4;3
República Dominicana: de los exiliados, al turismo y al rey emérito;Economía Digital;EconomiaDigital;Política y sociedad;5;"Juan Carlos I ya se encuentra en la República Dominicana, según avanzó este martes el diario ABC, aunque se mantiene el silencio oficial sobre su paradero tanto en el Palacio de la Zarzuela como en La Moncloa.

Curiosamente, los principales medios dominicanos –Listín Diario, El Nacional y Hoy– informaban a primera hora de este martes que el rey emérito de España se encontraba en la ciudad portuguesa de Estoril. Poco después, indicaron que había volado de Oporto a Santo Domingo, pero citando a la prensa española. Ningún medio dominicano ha conseguido localizarle.

Según ABC, Juan Carlos probablemente habría aceptado la invitación de uno de sus amigos, el empresario norteamericano Pepe Fanjul, que posee diversos inmuebles en la República Dominicana, entre los cuales destaca el complejo hotelero casa de Campo, en La Romana. Precisamente, la avenida en la que se encuentra este exclusivo resort se llama Rey Juan Carlos I.

A falta de conformación oficial, se apunta en los medios gubernamentales que la estancia de Juan Carlos en la mencionada república caribeña sería “temporal”.

Para huir de las presiones judiciales y políticas generadas por sus escándalos, el rey emérito habría optado por pasar una temporada en uno de los países que atrajo a más miembros de la diáspora republicana después de la Guerra Civil española.

Por detrás de México, la República Dominicana fue el segundo país latinoamericano que acogió a más refugiados españoles. Fueron más de 4.000 solo en 1939, una cifra importante teniendo en cuenta que la población dominicana no alcanzaba entonces los dos millones de habitantes.

El dictador Rafael Leónidas Trujillo abrió las puertas a los que huían de otro dictador, Francisco Franco. En un principio, planeó concederles tierras para que se dedicasen a la agricultura, pero el plan fracasó porque en su inmensa mayoría eran profesionales del sector terciario. Abundaban los intelectuales. Entre estos un numeroso grupo de escritores catalanes como Anna Murià, Agustí Bartra, Vicenç Riera Llorca o Joan Sales­. La mayoría también estuvieron de paso. Se fueron a otro país al cabo de pocos años.

Artículo premonitorio
En un artículo en Listín Diario, de Santo Domingo, el diplomático Ángel Lockward escribió este fin de semana un premonitorio artículo en el que pidió al actual presidente de su país, Luis Abinader, que ofreciera la residencia a Juan Carlos.

El artículo finaliza con esta propuesta: “Si el Presidente Abinader le invitara [al rey emérito] a residir en el país contribuiríamos a resolver un tema actual en Madrid –como antes hicimos muchas veces–, seriamos solidarios con un buen amigo de la República, consecuentes con nuestra tradición de acoger a figuras estelares en su retiro o exilio y tendríamos acá –como huésped– el mejor, más prestigioso y experimentado promotor y negociador que queda con vida”. Incluso sugirió que Juan Carlos podría residir temporalmente en Casa de Campo, en La Romana.

Destino del turismo español
Los españoles que van a la República Dominicana lo hacen por turismo. Este país recibió 170.138 españoles en 2019, un 4,9% más que el año anterior, según datos del dominicano Banco Central.

Por lo que respecta al número de turistas europeos que visitan la República Dominicana, España se situó en cuarta posición, por detrás de Francia, Rusia y Alemania, pero por delante de la Gran Bretaña e Italia. La modalidad preferida del turista español es la de un gran hotel con todo incluido.

La pandemia de coronavirus acabó con las escapadas de los turistas españoles a este paraíso caribeño. El gobierno de Abinader decretó el estado de emergencia y el toque de queda el pasado 20 de julio por un periodo de 20 días. Aún no ha finalizado.

Juan Carlos podrá disfrutar del Caribe. El pasado fin de semana salió a la mar en Sansenxo (Pontevedra) aunque, a sus 82 años, ya no está para regatas.";Sí;Sí;Jácome;3;2;2
Yolanda Díaz, sobre Juan Carlos I: «Da muy mala imagen de España»;Economía Digital;EconomiaDigital;Empresas;5;"Yolanda Díaz no gasta pólvora en salvas para hablar de la monarquía. La ministra de Trabajo y Economía Social, de Unidas Podemos, ha señalado este miércoles que la imagen de España tras la salida del rey emérito Juan Carlos I del país, por las informaciones que le apuntan, «es muy mala».

Díaz ha indicado que no le compete hablar sobre ello, pero ha subrayado que actualmente «hay mucha sensibilidad» en cuanto a los modelos «de exigencia, de transparencia, de carácter ético en todas» las instituciones del Estado, de ahí que entiende que «en todas ellas ha de ser igual», al tiempo que considera que es lo que «está pidiendo la sociedad española».

«Instituciones limpias»
La ministra que se ha remitido a lo expuesto en el día de ayer por el presidente del Gobierno, Pedro Sánchez, en relación a este tema, pero ha puntualizado que se debe al acuerdo de gobierno suscrito entre PSOE y Unidas Podemos, aunque admite que «legítimamente cada formación política tiene sus opiniones sobre muchas materias«.

Así, ha agregado que, sea la institución que sea, ya sea eclesial, política, sindical o la Casa Real, puede ser lo que fuere, «hace daño a todas», a lo que ha añadido que actualmente la sociedad española pide «ejemplaridad, quiere instituciones limpias, quiere comportamientos que estén en niveles hiperexigentes», por ello entiende que es eso lo que debe regir en la Casa Real.";Sí;Sí;Pablo;3;3;5
Unidas Podemos coloca a Carmen Calvo en su punto de mira por el Rey;Lorena Martín;EconomiaDigital;Política y sociedad;5;"Unidas Podemos (UP) es formación de gobierno pero se comporta como fuerza de la oposición. El presidente de su grupo en el Congreso, Jaume Asens, ha subrayado que la vicepresidenta Carmen Calvo “es quien ha hecho cómplice al Gobierno” de la decisión de Juan Carlos I de abandonar España. Por eso, pide que explique en el Congreso las gestiones y conversaciones que dieron lugar a la salida del antiguo jefe de I5Estado. 

Además, UP se queja de que la parte del PSOE del Gobierno ha manejado esta situación por su cuenta y riesgo y protesta porque no han sido informados de las conversaciones que posibilitaron la marcha del rey emérito. Las gestiones, concretamente, se atribuyen a Pedro Sánchez, Carmen Calvo e Iván Redondo —director de gabinete del presidente—.

Por su parte, la vicepresidenta ha evitado dar detalle alguno sobre las negociaciones entre la Moncloa y la Zarzuela, y ha dicho que las razones que han llevado al rey emérito para salir del país están explicadas en una carta que ha hecho pública la Casa Real. 

También ha manifestando este miércoles que “el rey emérito no huye de nada porque no está inmerso en ninguna causa”. Es el mensaje que ya quiso dar el pasado martes Sánchez, al enfatizar reiteradamente que Juan Carlos I seguirá a disposición de la Justicia española si así se le pide, independientemente de que ya no esté en España.

Justo antes de un encuentro con el presidente de Asturias, el socialista Adrián Barbón, en Oviedo, Calvo ha añadido además que Juan Carlos I “simplemente decide salir del país y da las razones de por qué, que las conocemos todos los españoles, no solo el Gobierno”. Unidas Podemos se suma así a las peticiones de Esquerra Republicana, Bildu y Junts per Catalunya, que también han reclamado la comparecencia en el Congreso de Carmen Calvo.

“Creemos que hacen falta explicaciones. Y quien las debería darlas es la vicepresidenta, que ha pilotado la negociación, y que es quien ha hecho cómplice al Gobierno de esta operación de la Casa Real”, ha apuntado Jaume Asens en una entrevista este miércoles en Rac1.

Un referendum sobre la monarquía en diez años
Aunque no durante el mandato del PSOE, Asens cree que será plausible un referéndum sobre la monarquía en España “en la próxima década si hay otra correlación de fuerzas”. A su juicio, un referéndum “es lo que la ciudadanía está pidiendo”.

En la carta que envió a su hijo, el rey Felipe VI, Juan Carlos I justificaba su marcha para “facilitar el ejercicio” de las funciones del monarca, “desde la tranquilidad y el sosiego que requiere esta alta responsabilidad”. Además, expresaba la voluntad de permanecer a disposición de la Fiscalía del Tribunal Supremo.

Así lo ha corroborado Calvo: “la salida del país de España es algo bueno para la institución y para Felipe VI en su trabajo impecable por nuestro país, en un presente y un futuro que van a necesitar de unidad, coordinación y arrimar todos el hombro”.";Sí;Sí;María;3;3;2
TVE calienta la polémica sobre Juan Carlos I con un documental oculto;Alessandro Solís Lerici;EconomiaDigital;Política y sociedad;6;"Dos administraciones de RTVE, una del PP y otra la actual del PSOE, se han negado durante años a emitir el documental Yo, Juan Carlos I, Rey de España, filmado entre 2014 y 2015, y estrenado únicamente en Francia en 2016. Pero Rosa María Mateo ha aprovechado la reciente salida de España del monarca emérito y los presuntos casos de corrupción que le involucran para sacar del cajón aquella extensa entrevista y aderezarla con un programa previo en el que se analizarán las investigaciones que alrededor de la figura de Juan Carlos I se está llevando a cabo.

La 1 de TVE estrenará el documental este jueves a las 23.05 horas, después de un especial informativo de una hora conducido por Carlos Franganillo en el que se abordará la biografía de Juan Carlos I “desde varias perspectivas”, según reza en un comunicado del ente público. También, desde luego, se hablará de “las consecuencias que puede provocar su marcha en la Monarquía española” y otros asuntos sobre su figura muy señalados estos días.

Yo, Juan Carlos I, Rey de España fue una colaboración entre RTVE y la televisión francesa France 3 y se grabó pocos meses antes de su abdicación. En una entrevista que se extendió durante varias horas, en el Palacio de la Zarzuela, el monarca cuenta su vida a través de sus ojos y hace un balance de su papel institucional como Rey desde la muerte de Franco, pasando por la Transición y llegando hasta la España de la segunda década del siglo XXI.

Dirigido por el cinesta hispano francés Miguel Courtois, el documental ha sido más controvertido por su ocultación en España que por su contenido, que quienes lo han visto lo consideran favorable respecto de la figura del Rey emérito. France 3 lo emitió en 2016, pero la entonces dirección de TVE (con José Antonio Sánchez como presidente, nombrado por el Gobierno de Mariano Rajoy) consideró que su “planteamiento” era “del pasado”.

La televisión pública defendió entonces que la producción “trata de un rey que ya no es rey” y confirmó hace cuatro años que su emisión no estaba programada ni prevista. Cuando la llegada de Pedro Sánchez a La Moncloa coincidió con el nombramiento de Rosa María Mateo como administradora provisional única de RTVE, esta decisión tampoco fue alterada, y el documental ha estado en el olvido pese a las buenas críticas recibidas en Francia.

Algunas personas lo han subido a internet para que los españoles lo pudiesen ver, pero su emisión la noche de este jueves en La 1 de TVE marcará el fin del misterio surgido alrededor del documental.

Especial informativo
Antes de Yo, Juan Carlos I, Rey de España, TVE emitirá a las 22.05 horas un especial informativo sobre el monarca. Será conducido por el periodista Carlos Franganillo. “Un espacio que contará con la presencia de analistas y expertos, como los periodistas José Antonio Zarzalejos. Carmen Enriquez y el magistrado Ignacio González Vega, entre otros”, dice el comunicado.

El especial y la emisión del documental tendrán lugar el mismo día que Rosa María Mateo ha acudido a la comisión parlamentaria mixta de control a RTVE en el Senado, donde ha insistido en defender la independencia del ente y ha negado tener relación alguna con La Moncloa, tras ser cuestionada por la serie de ceses y nombramientos que se sucedieron en los últimos meses, así como por los polémicos cambios en la programación.";Sí;Sí;Joel;3;3;3
Pedro Sánchez asegura que el rey emérito rendirá cuentas;Economía Digital;EconomiaDigital;Política y sociedad;6;"Pedro Sánchez ha dirigido este jueves una carta a los militantes del PSOE, en calidad de secretario general del partido, en la que subraya que “todo responsable político debe rendir cuentas de su conducta y así sucederá sin excepciones”.

De nuevo, el presidente del Gobierno y líder del PSOE salió en defensa de la Corona, al desligar las conductas del rey emérito Juan Calos I de la institución que asume la jefatura del Estado.

En su primer día de vacaciones en Lanzarote, Sánchez dirigió una carta a la militancia para concretar su posición sobre la Corona y, en concreto, sobre Juan Carlos después de su polémica salida del país. Al respecto, Sánchez subraya dos cuestiones: la primera, que “una conducta irregular compromete a su responsable, no a la institución”. y la segunda, que “el PSOE se siente plenamente comprometido con el pacto constitucional en todos sus términos y extremos”.

Sobre las presuntas conductas reprobables de Juan Carlos I, Sánchez asegura que el rey emérito rendirá cuentas como sucede con cualquier responsable político. Sin embargo, insiste en que estas conductas comprometen a su responsable, a Juan Carlos I, y no a la Corona.

La carta es un alegato en favor de la monarquía parlamentaria y de la Constitución que la instauró. Señala que “la Constitución no fue una cesión ni una concesión”, sino “una conquista alcanzada con la lucha y el sufrimiento de los demócratas antifascistas” y que “el peor error que podemos cometer es regalar a los conservadores la exclusividad del legado constitucional”.

“Somos leales a la Constitución”
Añade que la Constitución “ampara la pluralidad territorial de las nacionalidades y regiones que componen España”. Y que “la monarquía parlamentaria es un elemento de ese pacto, no todo el pacto. Todo el pacto es la Constitución y no se puede trocear y seleccionar a capricho. Somos leales a la Constitución. a toda, de principio a fin. Y la defenderemos a las duras y a las maduras”.

Sánchez empieza la carta refiriéndose a la responsabilidad del PSOE ante la crisis sanitaria y económica causada por la pandemia de coronavirus. Reiteró, como ha dicho en otras ocasiones en el Congreso, que velarán para que “prevalezca la justicia social y nadie quede atrás, abandonado a su suerte”.

Ante la necesaria reconstrucción de las estructuras económicas, Sánchez mostró su satisfacción porque, “esta vez sí”, contarán con el apoyo de Europa, que “ha estado a la altura y ha aprobado” un Fondo de Recuperación mediante el que España obtendrá 140.000 millones de euros a lo largo de los próximos 6 años.";Sí;Sí;Jácome;4;4;2
El CIS se abre a preguntar sobre la Monarquía;Alessandro Solís Lerici;EconomiaDigital;Política y sociedad;6;"El Centro de Investigaciones Sociológicas (CIS) retomará en sus próximas encuestas preguntas sobre la Constitución, han confirmado este miércoles fuentes del organismo, abriéndose incluso a incluir preguntas relacionadas con la Monarquía en plena polémica por la salida de España de Juan Carlos I.

El CIS, dirigido actualmente por José Félix Tezanos, no pregunta sobre la Constitución desde septiembre de 2018, cuando el chef socialista apenas llevaba unos meses al frente de la cocina del organismo. El mandato actual del Centro no ha realizado ningún sondeo relativo a la Monarquía. desde abril de 2015 no se incluyen preguntas sobre la Casa Real y desde el año 2008 no se interpela a los españoles sobre Juan Carlos I.

Ahora, el CIS se abre a incluir preguntas sobre la forma del Estado, informa RNE. En 2018, el 70% de los encuestados en un barómetro respondió de forma afirmativa a la cuestión sobre la necesidad de reformar la Constitución. Y en 2015, la valoración media de la Corona era del 4,34 sobre 10, con un 57% de los encuestados valorando positivamente a Felipe VI. En el barómetro de julio de este año, solo el 0,5% de los españoles percibía la Monarquía como un problema.

La última vez que los ciudadanos valoraron la figura del Rey emérito en el CIS fue en 2008, cuando casi el 80% consideraba que Juan Carlos I había contribuido mucho o bastante a la democracia y un 60% creía que era muy o bastante importante el papel del emérito como árbitro en la España post-Transición.

Presión de partidos y medios
Tras anunciarse la salida de España de Juan Carlos I, el líder de Más País, Íñigo Errejón, demandó que el CIS pregunte “por la valoración ciudadana de la institución monárquica como pregunta por todos los sectores de la vida pública”. Asimismo, algunas casas de encuestas han confirmado que varios partidos políticos han pedido sondeos en las últimas semanas sobre la monarquía tras las noticias que se han sucedido al respecto.

La decisión del CIS de incluir cuestiones sobre posibles reformas constitucionales llega después de que varios medios de comunicación enviasen una carta a Tezanos en la que se urgía a recuperar las preguntas sobre la Monarquía. La misiva la firmaban diarios como Público, Ara y La Voz del Sur, y afirmaba que “el momento es idóneo para que el CIS haga una encuesta monográfica sobre el tema” y que “en términos democráticos no es de recibo que siga demorándose”.

Tezanos respondió a la carta alegando que iba a “intentar” preguntar sobre la Monarquía en algún estudio del CIS. “Por supuesto, y como no puede ser de otra manera, voy a valorar vuestra sugerencia, aunque, como creo que podréis entender, tendré que sopesarla y contrastarla con otras opiniones sobre el tema”, dijo el jefe del organismo, añadiendo que una encuesta al respecto podría proporcionar “información rigurosa y contrastable” sobre la institución.";Sí;Sí;Pablo;2;2;3
¿A quién teme Felipe VI?;Xavier Bru de Sala;EconomiaDigital;Hemeroteca;6;"Avancemos la respuesta. Felipe VI teme a la derecha, mucho más a la extrema, así como al IBEX y a las cúpulas del poder del Estado. El estrecho abrazo a distancia de Pedro Sánchez al rey actual tras la huida del rey emérito ayuda a confirmarlo.

Sin embargo, y por encima de todo, lo que el rey teme o debería temer no está en España sino a no muchos cientos de quilómetros. Dentro de unos párrafos el lector será puntualmente informado.

De tan estrecho, el abrazo resultó a todas luces excesivo. A primera vista, y a la luz del enfado de sus socios podemitas o de las críticas recibidas de buena parte de los restos del naufragio de la España progresista, parece que el presidente haya perdido unas cuantas plumas al resguardar al rey de este feo asunto.

Puestos a constituirse en escudo protector del jefe del Estado, Sánchez llevó su cometido hasta el final, incluso con un sospechoso exceso de celo. Ni sabe dónde se ha exiliado Juan Carlos I ni suelta prenda sobre su papel en la precipitada fuga del emérito hacia un paradero supuestamente desconocido.

A favor en cambio de sus propios intereses, que ya sabemos que para él son lo primero y tal vez lo último, el inquilino de La Moncloa —que no es ni monárquico ni republicano sino todo lo contrario— se coronó en pública rueda de prensa como campeón de la estabilidad en tiempos de crisis y pandemia.

Sánchez, el salvador de vidas (sin importar el primer puesto de España en muertes por habitante en los meses más duros de del coronavirus). Sánchez, el que obtiene la colosal ayuda europea. Sánchez, el que llama a todos a arrimar el hombro remar en la misma dirección, que es la suya. Y por si fuera poco, Sánchez, el protector de la real casa. Sánchez, el protagonista de la historia. O Sánchez o el caos.

La cuestión es perdurar pero no como Sánchez, sino en términos dinásticos

La jugada de Sánchez consiste en no dejar espacio a quienes pudieran criticarle por contribuir, no por activa sino por pasividad, al desprestigio de la institución de la monarquía.

Es evidente que lo conseguido en términos de favor popular por Juan Carlos en sus primeros tiempos, algo singular en las historia de los Borbones e incluso en la bastante más convulsa de las monarquías europeas, se ha ido por completo al traste. También lo es, quiéranlo o no, que la deslegitimación arrastra a su hijo, y que dicho arrastre puede llegar hasta quién sabe dónde.

Por ello reviste especial importancia que Sánchez haya echado todos los frenos e invertido el resto en detener o aminorar al máximo la caída desde el principio. Llegando al punto de convertir las imprescindibles explicaciones públicas de Felipe VI en algo que pueda parecer sobrante. La Casa Real es una institución robusta. El rey actual es ejemplar. Felipe VI es transparente. Y punto.

Tanto que, impertérrito, sigue su agenda y se va de vacaciones como si tal cosa, que es otra manera de escurrir el bulto. Da igual si figura como beneficiario del tinglado de dinero oculto montado por su padre. Da igual lo que crea o lo que piense la gente. La cuestión es perdurar pero no como Sánchez, sino en términos dinásticos. Los Borbones siempre han vuelto tras ser expulsados, pero si el hilo se corta en los próximos tiempos, la república será irreversible.

Puede ser oportuno, en estos momentos sacar a colación un tuit, con disculpas por ignorar el nombre de su ingenioso autor: “El primer rey y el último emperador de Roma se llamaban Rómulo. el que erigió Constantinopla, se llamaba Constantino, igual que el último emperador de Oriente. el primer y el último Austria español se llamaban Carlos. el primer Borbón español se llamaba Felipe…”.

El último Felipe rey de España no teme a la izquierda, quienes en un ejercicio de lirismo digno de mejor causa, todavía albergan la esperanza de que la posible caída del último Borbón arrastraría consigo les males de España. Desengáñense, entre la actual monarquía y una hipotética Tercera República, lo único que cambiaría sería el nombre del jefe del Estado.

Lo que más teme, o debería temer, el actual jefe de la Casa Real es a los jueces suizos

De eso encargarían aquellos para quienes el rey es, en las presentes circunstancias, algo parecido a un entrenador de futbol aunque de menor importancia, o sea una figura del tablero a la que sacrificar en caso de necesidad, a fin de que nada cambie. Contra ellos se ha dirigido el movimiento encubridor de Sánchez. “Quién se enfrente a Felipe VI tendrá que vérselas conmigo», reza el protector mensaje presidencial (“lo cual significa que soy más que él, por si no os habías enterado”).

Así que los resquemores y las expectativas de cambio de unos y otros, para mejor ocasión. A no ser… A no ser que la justicia suiza, a la vista de que Juan Carlos I no ha huido de España sino de los jueces suizos y a buen seguro que está en un país sin tratado de extradición, las emprende contra Felipe VI como, supongamos, beneficiario y colaborador necesario de la trama.

Así pues, lo que más teme, o debería temer, el actual jefe de la Casa Real es a los jueces suizos, en cuyas calvinistas y ejemplares y por lo tanto fingidoras manos puede estar, oh ironías del destino, el advenimiento de la Tercera República. Desde luego que en las de la progresía española.";Sí;Sí;María;3;2;1
